rooms,area,bathrooms,toilets,facades_number,number_floors,build_year,has_terrace,has_garden,has_garage,elevator,is_furnished,leased,running_water,primary_energy_consumption,postal_code,cadastral_income,has_swimming_pool,property_type_house,property_type_other,locality_antwerp,locality_braine-l-alleud,locality_brussels,locality_gent,locality_laken,locality_liege,locality_lier,locality_mons,locality_mouscron,locality_namur,locality_nivelles,locality_oostende,locality_other,locality_pont-a-celles,locality_roeselare,locality_seraing,locality_tournai,locality_tubize,locality_turnhout,locality_wavre,property_subtype_duplex,property_subtype_other,property_subtype_residence,property_subtype_studio,property_subtype_villa,has_equipped_kitchen_Not equipped,has_equipped_kitchen_Partially equipped,has_equipped_kitchen_Super equipped,y_true,y_pred_oof,loss
3.0,143.0,2.0,2.0,3.0,5.0,2024.0,1,1,1,1,0,0.0,1.0,45.0,1140,803.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,610000.0,662335.9620083013,52335.962008301285
3.0,40.0,1.0,1.0,3.0,3.0,2010.0,0,0,0,0,0,0.0,1.0,232.0,3640,803.0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,63950.0,110022.2152363703,46072.215236370306
2.0,92.0,1.0,1.0,3.0,3.0,2024.0,1,0,1,1,0,0.0,1.0,232.0,2000,803.0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,435000.0,429548.34566914506,5451.654330854944
1.0,60.0,1.0,1.0,3.0,6.0,2010.0,0,0,0,1,0,0.0,1.0,232.0,7500,803.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,159000.0,159999.19277552108,999.1927755210781
3.0,161.0,1.0,2.0,2.0,2.0,2023.0,1,1,0,0,0,0.0,1.0,232.0,2200,803.0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,375000.0,391833.5596490615,16833.559649061528
2.0,113.0,1.0,1.0,2.0,3.0,2024.0,1,0,1,1,0,0.0,1.0,232.0,9940,803.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,395000.0,397593.23106209544,2593.2310620954377
2.0,81.0,1.0,1.0,3.0,3.0,1970.0,1,0,0,1,0,0.0,1.0,173.0,2050,971.0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,199000.0,214246.9637134667,15246.963713466714
3.0,135.0,1.0,2.0,2.0,3.0,2010.0,0,1,1,0,0,0.0,1.0,349.0,6030,431.0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,165000.0,150366.99474287438,14633.005257125624
3.0,204.0,1.0,2.0,4.0,3.0,1975.0,1,1,1,0,0,0.0,1.0,296.0,9550,857.0,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,499000.0,497984.8299635908,1015.1700364092248
5.0,350.0,2.0,1.0,4.0,3.0,1998.0,1,1,1,0,0,0.0,1.0,198.0,1982,803.0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,749000.0,928653.4460338646,179653.44603386463
2.0,100.0,1.0,1.0,3.0,2.0,2024.0,1,0,1,1,0,0.0,1.0,232.0,1785,803.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,315000.0,325533.4244768955,10533.424476895481
3.0,160.0,1.0,2.0,3.0,1.0,2024.0,1,1,1,0,0,0.0,1.0,232.0,7700,803.0,0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,307950.0,347274.730807773,39324.73080777301
